"","motif","sourceMotif","gene"
"CPHX1.m0","CPHX1.m0","N1_Cphx1.h0/N2_Cphx1.e0","CPHX1"
"CPXCR1.m0","CPXCR1.m0","M08212","CPXCR1"
"CREB1.m0","CREB1.m0","N1_M01073/N6_M04463/N10_M04467/N14_M11072/N15_M11075/N16_M11076","CREB1"
"CREB1.m1","CREB1.m1","N2_M01074/N4_M04227/N13_M11071","CREB1"
"CREB1.m2","CREB1.m2","N17_M11077","CREB1"
"CREB1.m3","CREB1.m3","N18_M11078","CREB1"
"CREB1.m4","CREB1.m4","N3_M04226","CREB1"
"CREB1.m5","CREB1.m5","N9_M04466/N12_M04469/N19_MA0018.5/N20_CREB1.h0","CREB1"
"CREB3.m0","CREB3.m0","N1_M03033/N4_M04219/N13_CREB3.e0","CREB3"
"CREB3.m1","CREB3.m1","N10_M04448","CREB3"
"CREB3.m2","CREB3.m2","N2_M03034/N11_MA0638.2/N12_CREB3.h0/N13_CREB3.e0/N14_CREB3.e1","CREB3"
"CREB3.m3","CREB3.m3","N3_M04218/N5_M04443/N9_M04447","CREB3"
"CREB3.m4","CREB3.m4","N6_M04444/N8_M04446","CREB3"
"CREB3L1.m0","CREB3L1.m0","N4_M03049/N27_CREB3L1.e3/N7_M04233/N6_M03051/N1_M03046/N22_MA0839.2/N23_CREB3L1.h0/N24_CREB3L1.e0/N20_M04523","CREB3L1"
"CREB3L1.m1","CREB3L1.m1","N3_M03048/N26_CREB3L1.e2/N9_M04235/N19_M04522","CREB3L1"
"CREB3L1.m2","CREB3L1.m2","N8_M04234/N10_M04513","CREB3L1"
"CREB3L1.m3","CREB3L1.m3","N16_M04519/N11_M04514","CREB3L1"
"CREB3L2.m0","CREB3L2.m0","N1_MA0608.1/N2_Creb3l2.h0/N4_M01894","CREB3L2"
"CREB3L2.m1","CREB3L2.m1","N5_M03067/N11_CREB3L2.e0","CREB3L2"
"CREB3L2.m2","CREB3L2.m2","N6_M03068/N12_CREB3L2.e1/N9_M03845","CREB3L2"
"CREB3L2.m3","CREB3L2.m3","N8_M03844","CREB3L2"
"CREB3L4.m0","CREB3L4.m0","N1_M04497/N10_CREB3L4.h1/N8_MA1475.2","CREB3L4"
"CREB3L4.m1","CREB3L4.m1","N2_M04498/N9_CREB3L4.h0/N7_MA1474.2","CREB3L4"
"CREB3L4.m2","CREB3L4.m2","N5_M04501/N3_M04499","CREB3L4"
"CREB3L4.m3","CREB3L4.m3","N4_M04500","CREB3L4"
"CREB3L4.m4","CREB3L4.m4","N6_M04502","CREB3L4"
"CREB5.m0","CREB5.m0","N1_M03070/N2_MA0840.2/N3_Creb5.h0/N9_CREB5.e0","CREB5"
"CREB5.m1","CREB5.m1","N5_M04504/N6_M04505/N7_M04506","CREB5"
"CREB5.m2","CREB5.m2","N8_CREB5.h0","CREB5"
"CREBL2.m0","CREBL2.m0","M03853","CREBL2"
"CREBZF.m0","CREBZF.m0","M01895","CREBZF"
"CREM.m0","CREM.m0","N1_M01903","CREM"
"CREM.m1","CREM.m1","N3_M04434","CREM"
"CREM.m2","CREM.m2","N4_MA0609.3/N5_CREM.h0","CREM"
"CRX.m0","CRX.m0","N3_Crx.h1/N11_CRX.e1/N5_M00329/N6_M00330/N4_M00328/N1_MA0467.3","CRX"
"CSRNP1.m0","CSRNP1.m0","M06293","CSRNP1"
"CTCF.m0","CTCF.m0","N77_M09076/N81_M10626/N86_CTCF.h0/N9_M08321/N64_M08376/N3_M06045/N20_M08332/N83_MA0139.2/N87_CTCF.h1/N98_CTCF.e10/N19_M08331/N40_M08352/N70_M08382/N23_M08335/N16_M08328/N8_M08320/N62_M08374/N42_M08354/N1_M08605/N31_M08343/N71_M08383/N60_M08372/N52_M08364/N67_M08379/N68_M08380/N65_M08377/N69_M08381/N46_M08358/N34_M08346/N27_M08339/N58_M08370/N66_M08378/N18_M08330/N30_M08342/N38_M08350/N63_M08375/N39_M08351/N48_M08360/N10_M08322/N11_M08323/N26_M08338/N14_M08326/N53_M08365/N35_M08347/N45_M08357/N36_M08348/N17_M08329/N49_M08361/N41_M08353/N44_M08356/N61_M08373/N28_M08340/N13_M08325/N51_M08363/N47_M08359/N74_M09073/N73_M09072/N78_M09077/N75_M09074/N76_M09075/N72_M09031/N99_CTCF.e11/N2_M03082/N24_M08336/N56_M08368/N54_M08366/N25_M08337/N37_M08349/N29_M08341/N57_M08369/N50_M08362/N21_M08333/N32_M08344/N22_M08334/N15_M08327/N59_M08371/N33_M08345/N12_M08324","CTCF"
"CTCF.m1","CTCF.m1","N89_CTCF.e1","CTCF"
"CTCF.m2","CTCF.m2","N6_M07972","CTCF"
"CTCF.m3","CTCF.m3","N79_M09078/N84_MA1929.2","CTCF"
"CTCF.m4","CTCF.m4","N82_M10627","CTCF"
"CTCF.m5","CTCF.m5","N85_MA1930.2","CTCF"
"CTCF.m6","CTCF.m6","N90_CTCF.e2","CTCF"
"CTCF.m7","CTCF.m7","N93_CTCF.e5","CTCF"
"CTCFL.m0","CTCFL.m0","N2_M10630/N4_CTCFL.h0/N1_M08388","CTCFL"
"CTCFL.m1","CTCFL.m1","N6_CTCFL.e0/N3_MA1102.3/N5_CTCFL.h1","CTCFL"
"CUX1.m0","CUX1.m0","N23_CUX1.e7/N3_M03150","CUX1"
"CUX1.m1","CUX1.m1","N4_M03151/N24_CUX1.e8","CUX1"
"CUX1.m2","CUX1.m2","N9_M11546/N17_CUX1.e1/N5_M03152/N15_CUX1.h1/N25_CUX1.e9","CUX1"
"CUX1.m3","CUX1.m3","N7_M04884/N6_M04883","CUX1"
"CUX1.m4","CUX1.m4","N8_M11545/N16_CUX1.e0","CUX1"
"CUX1.m5","CUX1.m5","N11_M11548/N19_CUX1.e3","CUX1"
"CUX2.m0","CUX2.m0","N1_Cux2.h0/N3_M03145/N6_MA0755.2/N7_CUX2.h0/N9_CUX2.e1","CUX2"
"CUX2.m1","CUX2.m1","N8_CUX2.e0/N2_M03144","CUX2"
"CUX2.m2","CUX2.m2","N5_M04870","CUX2"
"DACH1.m0","DACH1.m0","N1_M06205","DACH1"
"DACH1.m1","DACH1.m1","N2_M08603","DACH1"
"DBP.m0","DBP.m0","N8_M04441/N9_M04442/N15_DBP.e3/N2_M03072/N3_M03031/N13_DBP.e1/N4_M03032/N10_MA0639.2/N11_DBP.h0/N14_DBP.e2/N5_M04217/N6_M04439/N7_M04440/N1_M01902","DBP"
"DBP.m1","DBP.m1","N12_DBP.e0","DBP"
"DBX1.m0","DBX1.m0","N2_M00506/N3_M02210","DBX1"
"DBX1.m1","DBX1.m1","N5_M06647","DBX1"
"DBX2.m0","DBX2.m0","N1_Dbx2.h0/N2_DBX2.e0","DBX2"
"DDIT3--CEBPA.m0","DDIT3--CEBPA.m0","N3_DDIT3--CEBPA.e0/N2_Ddit3--Cebpa.h0/N4_DDIT3--CEBPA.e1/N1_MA0019.2","DDIT3--CEBPA"
"DDIT3.m0","DDIT3.m0","N1_M10615/N2_DDIT3.h0","DDIT3"
"DLX1.m0","DLX1.m0","N2_Dlx1.h1/N9_DLX1.e0","DLX1"
"DLX1.m1","DLX1.m1","N5_M05381/N7_M05383/N6_M05382/N4_M05380","DLX1"
"DLX2.m0","DLX2.m0","N1_MA0885.3","DLX2"
"DLX2.m1","DLX2.m1","N3_Dlx2.h1/N8_DLX2.e0","DLX2"
"DLX2.m2","DLX2.m2","N5_M05231/N7_M05233/N6_M05232/N4_M05230","DLX2"
"DLX3.m0","DLX3.m0","N2_Dlx3.h0","DLX3"
"DLX3.m1","DLX3.m1","N4_Dlx3.h2/N8_M05126/N9_M05128/N10_M05129/N11_M05131/N12_DLX3.e0","DLX3"
"DLX4.m0","DLX4.m0","N7_M05209/N8_M05211/N6_M05208/N3_Dlx4.h1/N9_DLX4.e0/N5_M05206","DLX4"
"DLX5.m0","DLX5.m0","N1_MA1476.3/N5_M05159/N6_M05160/N8_DLX5.h1/N4_M05157/N7_M05162/N2_Dlx5.h0/N9_DLX5.e0/N3_M03299/N10_DLX5.e1","DLX5"
"DLX6.m0","DLX6.m0","N3_M05109/N2_M03282/N6_DLX6.h0/N7_DLX6.e0/N1_M00726","DLX6"
"DMBX1.m0","DMBX1.m0","N1_MA0883.2/N2_Dmbx1.h0/N3_Dmbx1.h1/N7_DMBX1.e0/N6_M05588/N5_M05587/N4_M03440/N8_DMBX1.e1","DMBX1"
"DMRT1.m0","DMRT1.m0","N1_MA1603.2/N2_Dmrt1.h0","DMRT1"
"DMRT1.m1","DMRT1.m1","N3_M02011","DMRT1"
"DMRT1.m2","DMRT1.m2","N7_DMRT1.e0","DMRT1"
"DMRT2.m0","DMRT2.m0","N1_M02013","DMRT2"
"DMRT2.m1","DMRT2.m1","N2_DMRT2.e0","DMRT2"
