"","motif","sourceMotif","gene"
"TFAP4--FLI1.m0","TFAP4--FLI1.m0","MA1967.2","TFAP4--FLI1"
"TFAP4.m0","TFAP4.m0","N2_M02981/N15_MA0691.1/N18_TFAP4.h1/N25_TFAP4.e5/N10_M04277/N1_M02980/N24_TFAP4.e4/N6_M04273/N8_M04275/N4_M04271/N17_TFAP4.h0","TFAP4"
"TFAP4.m1","TFAP4.m1","N7_M04274/N16_MA1570.1/N19_TFAP4.h2/N3_M04270/N5_M04272/N9_M04276","TFAP4"
"TFCP2.m0","TFCP2.m0","N1_M02112","TFCP2"
"TFCP2.m1","TFCP2.m1","N9_M05096/N8_M05095","TFCP2"
"TFCP2.m2","TFCP2.m2","N14_TFCP2.e1","TFCP2"
"TFCP2L1.m0","TFCP2L1.m0","N4_TFCP2L1.h0/N1_MA0145.2/N5_TFCP2L1.e0","TFCP2L1"
"TFDP1.m0","TFDP1.m0","N2_TFDP1.h0/N1_MA1122.2","TFDP1"
"TFDP2.m0","TFDP2.m0","M10648","TFDP2"
"TFE3.m0","TFE3.m0","N4_M04262","TFE3"
"TFE3.m1","TFE3.m1","N5_M04263","TFE3"
"TFE3.m2","TFE3.m2","N6_MA0831.3","TFE3"
"TFEB.m0","TFEB.m0","N2_M02931","TFEB"
"TFEB.m1","TFEB.m1","N4_M04292","TFEB"
"TFEB.m2","TFEB.m2","N5_M04293","TFEB"
"TFEC.m0","TFEC.m0","N2_M04282/N4_MA0871.3/N5_TFEC.h0","TFEC"
"TFEC.m1","TFEC.m1","N3_M04283","TFEC"
"TGIF1.m0","TGIF1.m0","N2_Tgif1.h1/N10_TGIF1.e1","TGIF1"
"TGIF1.m1","TGIF1.m1","N3_M03427/N7_MA0796.1/N8_TGIF1.h0/N11_TGIF1.e2","TGIF1"
"TGIF1.m2","TGIF1.m2","N6_M11863/N9_TGIF1.e0","TGIF1"
"TGIF2.m0","TGIF2.m0","N2_Tgif2.h1/N10_TGIF2.e0","TGIF2"
"TGIF2.m1","TGIF2.m1","N3_M03327/N8_MA0797.1/N9_TGIF2.h0/N11_TGIF2.e1","TGIF2"
"TGIF2.m2","TGIF2.m2","N7_M05239/N6_M05238","TGIF2"
"TGIF2LX.m0","TGIF2LX.m0","N1_M03375/N8_TGIF2LX.e0","TGIF2LX"
"TGIF2LY.m0","TGIF2LY.m0","N1_M05517/N4_TGIF2LY.h0/N3_MA1572.1/N2_M05518","TGIF2LY"
"THAP1.m0","THAP1.m0","N3_THAP1.e0/N1_M08478","THAP1"
"THAP1.m1","THAP1.m1","N2_MA0597.3","THAP1"
"THAP1.m2","THAP1.m2","N4_THAP1.e1","THAP1"
"THAP11.m0","THAP11.m0","N3_THAP11.h0","THAP11"
"THAP12.m0","THAP12.m0","N2_M02622","THAP12"
"THAP12.m1","THAP12.m1","N3_M02623","THAP12"
"THRA.m0","THRA.m0","N2_M03572/N4_THRA.e0","THRA"
"THRA.m1","THRA.m1","N3_MA1969.2","THRA"
"THRB.m0","THRB.m0","N2_THRb.h1","THRB"
"THRB.m1","THRB.m1","N3_M03583/N20_THRB.e0","THRB"
"THRB.m2","THRB.m2","N21_THRB.e1/N4_M03584","THRB"
"THRB.m3","THRB.m3","N5_M03585/N22_THRB.e2","THRB"
"THRB.m4","THRB.m4","N6_M05833/N14_MA1574.2/N17_THRB.h0","THRB"
"THRB.m5","THRB.m5","N7_M05834","THRB"
"THRB.m6","THRB.m6","N13_M05840","THRB"
"TIGD1.m0","TIGD1.m0","M01286","TIGD1"
"TIGD3.m0","TIGD3.m0","M06175","TIGD3"
"TIGD4.m0","TIGD4.m0","M06174","TIGD4"
"TIGD5.m0","TIGD5.m0","M06100","TIGD5"
"TLX1.m0","TLX1.m0","N52_M05224/N112_M11907","TLX1"
"TLX1.m1","TLX1.m1","N7_M02230","TLX1"
"TLX1.m10","TLX1.m10","N83_M05597/N82_M05596","TLX1"
"TLX1.m11","TLX1.m11","N69_M05437","TLX1"
"TLX1.m12","TLX1.m12","N70_M05438","TLX1"
"TLX1.m13","TLX1.m13","N71_M05439","TLX1"
"TLX1.m14","TLX1.m14","N111_M11877","TLX1"
"TLX1.m15","TLX1.m15","N113_M11928","TLX1"
"TLX1.m2","TLX1.m2","N84_M06622/N8_M02287/N31_M03993","TLX1"
"TLX1.m3","TLX1.m3","N12_M03356","TLX1"
"TLX1.m4","TLX1.m4","N18_M03366/N15_M03363","TLX1"
"TLX1.m5","TLX1.m5","N32_M03994","TLX1"
"TLX1.m6","TLX1.m6","N45_M04051","TLX1"
"TLX1.m7","TLX1.m7","N107_M06782/N68_M05373/N108_M06783","TLX1"
"TLX1.m8","TLX1.m8","N63_M05368","TLX1"
"TLX1.m9","TLX1.m9","N50_M04068","TLX1"
"TLX2.m0","TLX2.m0","N1_Tlx2.h0/N4_TLX2.e1","TLX2"
"TLX2.m1","TLX2.m1","N2_MA1577.2/N3_TLX2.h0","TLX2"
"TOPORS.m0","TOPORS.m0","N1_M12560/N2_TOPORS.e0","TOPORS"
"TP53.m0","TP53.m0","N2_M12320/N9_TP53.e0","TP53"
"TP53.m1","TP53.m1","N4_MA0106.3/N8_TP53.h3/N15_TP53.e6","TP53"
"TP53.m2","TP53.m2","N6_TP53.h1","TP53"
"TP53.m3","TP53.m3","N13_TP53.e4","TP53"
"TP53.m4","TP53.m4","N14_TP53.e5","TP53"
"TP63.m0","TP63.m0","N1_M03641/N4_TP63.h1/N5_TP63.e0/N2_MA0525.2","TP63"
"TP63.m1","TP63.m1","N3_TP63.h0","TP63"
"TP73.m0","TP73.m0","N2_M08619/N1_M08618/N5_TP73.h0/N3_M08620","TP73"
"TP73.m1","TP73.m1","N4_MA0861.2/N6_TP73.h1/N7_TP73.e0","TP73"
"TRIM28.m0","TRIM28.m0","N1_TRIM28.e0","TRIM28"
"TRIM28.m1","TRIM28.m1","N2_TRIM28.e1","TRIM28"
"TRP53.m0","TRP53.m0","N1_M03643","TRP53"
"TRP53.m1","TRP53.m1","N2_M03644","TRP53"
"TRP53.m2","TRP53.m2","N3_M03645","TRP53"
"TRP73.m0","TRP73.m0","M03642","TRP73"
"TRPS1.m0","TRPS1.m0","N4_M06604/N1_M03965","TRPS1"
"TRPS1.m1","TRPS1.m1","N2_M03966","TRPS1"
"TRPS1.m2","TRPS1.m2","N3_M03967","TRPS1"
"TRPS1.m3","TRPS1.m3","N5_M11724","TRPS1"
"TTF1.m0","TTF1.m0","M06108","TTF1"
"TWIST1.m0","TWIST1.m0","N1_Twist1.h0","TWIST1"
"TWIST1.m1","TWIST1.m1","N2_MA1123.3/N3_TWIST1.h0","TWIST1"
"TWIST2.m0","TWIST2.m0","N1_MA0633.3","TWIST2"
"TWIST2.m1","TWIST2.m1","N2_Twist2.h0","TWIST2"
"TWIST2.m2","TWIST2.m2","N4_M01800/N3_Twist2.h1","TWIST2"
"TWIST2.m3","TWIST2.m3","N5_M03809","TWIST2"
"TWIST2.m4","TWIST2.m4","N7_M06351","TWIST2"
"TWIST2.m5","TWIST2.m5","N9_M10780","TWIST2"
"UBP1.m0","UBP1.m0","N1_M05097","UBP1"
"UNCX.m0","UNCX.m0","N1_Uncx.h0/N9_UNCX.e0/N13_UNCX.e4","UNCX"
"UNCX.m1","UNCX.m1","N3_M03468/N12_UNCX.e3","UNCX"
"UNCX.m2","UNCX.m2","N6_M03396/N7_MA0721.2/N8_UNCX.h0/N11_UNCX.e2","UNCX"
"USF1.m0","USF1.m0","N3_M04350/N10_M10583/N15_USF1.h0/N11_M10990/N2_M02996/N1_M01814","USF1"
"USF1.m1","USF1.m1","N4_M04351","USF1"
"USF1.m2","USF1.m2","N6_M08266","USF1"
"USF1.m3","USF1.m3","N14_MA0093.4/N16_USF1.h1","USF1"
"USF2.m0","USF2.m0","N1_M01834/N4_M04280","USF2"
"USF2.m1","USF2.m1","N9_M08246/N7_M08244/N5_M04281/N8_M08245/N6_M08243/N10_M08247","USF2"
"USF2.m2","USF2.m2","N11_MA0526.5","USF2"
"USF2.m3","USF2.m3","N12_USF2.h0","USF2"
"USF3.m0","USF3.m0","M06116","USF3"
"VAX1.m0","VAX1.m0","N3_M05386/N1_Vax1.h0/N7_VAX1.e0","VAX1"
"VAX2.m0","VAX2.m0","N1_Vax2.h0/N4_VAX2.e0","VAX2"
"VDR.m0","VDR.m0","N3_M03567/N11_VDR.e4/N1_M03633/N12_VDR.e5","VDR"
"VDR.m1","VDR.m1","N2_MA0693.4","VDR"
"VDR.m2","VDR.m2","N10_VDR.e3","VDR"
"VENTX.m0","VENTX.m0","N3_M00360/N1_M00358","VENTX"
"VENTX.m1","VENTX.m1","N2_M00359","VENTX"
"VENTX.m2","VENTX.m2","N4_M02173","VENTX"
"VENTX.m3","VENTX.m3","N5_M03373/N10_MA0724.1/N11_VENTX.h0/N12_VENTX.e0","VENTX"
"VENTX.m4","VENTX.m4","N6_M03374/N13_VENTX.e1","VENTX"
"VEZF1.m0","VEZF1.m0","N1_M01254/N3_VEZF1.h0/N2_MA1578.2","VEZF1"
"VSX1.m0","VSX1.m0","N1_Vsx1.h0/N15_VSX1.e0","VSX1"
"VSX1.m1","VSX1.m1","N2_M02211/N12_M06256/N10_M05149","VSX1"
"VSX1.m2","VSX1.m2","N4_M04083/N6_M05145/N9_M05148/N5_M03291/N13_MA0725.2/N14_VSX1.h0/N16_VSX1.e1/N3_M03471/N17_VSX1.e3","VSX1"
"VSX1.m3","VSX1.m3","N11_M05150/N7_M05146","VSX1"
"VSX2.m0","VSX2.m0","N1_M02161/N2_M02212","VSX2"
"VSX2.m1","VSX2.m1","N13_M11799/N16_VSX2.e0/N6_M00342","VSX2"
"WT1.m0","WT1.m0","N1_MA1627.2/N2_Wt1.h0","WT1"
"WT1.m1","WT1.m1","N6_M00304","WT1"
"XBP1.m0","XBP1.m0","N2_M03029/N18_XBP1.e2/N5_M04215","XBP1"
"XBP1.m1","XBP1.m1","N3_M03030/N13_MA0844.2/N15_XBP1.h1/N19_XBP1.e3","XBP1"
"XBP1.m2","XBP1.m2","N4_M04214","XBP1"
"XBP1.m3","XBP1.m3","N12_M11056/N16_XBP1.e0","XBP1"
"XBP1.m4","XBP1.m4","N14_XBP1.h0","XBP1"
"XPA.m0","XPA.m0","N2_M06032/N1_M06031","XPA"
"YBX2.m0","YBX2.m0","N1_M04865/N2_M04866","YBX2"
"YY1.m0","YY1.m0","N5_M04612/N3_M04610","YY1"
"YY1.m1","YY1.m1","N4_M04611/N6_M04613/N21_YY1.h1","YY1"
"YY1.m2","YY1.m2","N20_YY1.h0/N14_M08318/N13_M08317/N15_M08319/N10_M08314/N12_M08316/N11_M08315/N9_M08313/N16_M09030/N17_M09423","YY1"
"YY1.m3","YY1.m3","N19_M11262/N28_YY1.e6","YY1"
"YY1.m4","YY1.m4","N23_YY1.e1","YY1"
"YY1.m5","YY1.m5","N29_YY1.e7","YY1"
"YY2.m0","YY2.m0","N6_MA0748.3/N7_YY2.h0/N1_M03130/N8_YY2.e0","YY2"
"YY2.m1","YY2.m1","N3_M03132","YY2"
"YY2.m2","YY2.m2","N4_M04851/N5_M04852","YY2"
"ZBED1.m0","ZBED1.m0","N2_M04260/N1_M02975/N4_MA0749.2/N5_ZBED1.h0/N6_ZBED1.e0","ZBED1"
"ZBED2.m0","ZBED2.m0","MA1971.2","ZBED2"
"ZBED4.m0","ZBED4.m0","MA2328.1","ZBED4"
"ZBED5.m0","ZBED5.m0","M08485","ZBED5"
"ZBTB10.m0","ZBTB10.m0","M08580","ZBTB10"
"ZBTB11.m0","ZBTB11.m0","MA2329.1","ZBTB11"
"ZBTB12.m0","ZBTB12.m0","N2_Zbtb12.h0/N13_ZBTB12.e0/N8_M09062","ZBTB12"
"ZBTB12.m1","ZBTB12.m1","N6_M04839/N4_M04837","ZBTB12"
"ZBTB12.m2","ZBTB12.m2","N5_M04838","ZBTB12"
"ZBTB14.m0","ZBTB14.m0","N6_M04836/N5_M04835","ZBTB14"
"ZBTB14.m1","ZBTB14.m1","N7_M09522/N9_ZBTB14.h0/N8_MA1650.2","ZBTB14"
"ZBTB16.m0","ZBTB16.m0","ZBTB16.e0","ZBTB16"
"ZBTB17.m0","ZBTB17.m0","MA2102.1","ZBTB17"
"ZBTB18.m0","ZBTB18.m0","N7_M11405/N11_ZBTB18.e0/N1_M03120/N12_ZBTB18.e1/N2_M03121/N8_MA0698.2/N10_ZBTB18.h1/N13_ZBTB18.e2/N3_M04789/N9_ZBTB18.h0","ZBTB18"
"ZBTB18.m1","ZBTB18.m1","N5_M09050","ZBTB18"
"ZBTB2.m0","ZBTB2.m0","N1_MA2340.1","ZBTB2"
"ZBTB2.m1","ZBTB2.m1","N2_M04799","ZBTB2"
"ZBTB2.m2","ZBTB2.m2","N3_M04800","ZBTB2"
"ZBTB20.m0","ZBTB20.m0","N1_M04803/N2_M04804","ZBTB20"
"ZBTB22.m0","ZBTB22.m0","N2_M04856/N1_M04855","ZBTB22"
"ZBTB24.m0","ZBTB24.m0","MA2330.1","ZBTB24"
"ZBTB26.m0","ZBTB26.m0","N1_M04751/N2_M04752","ZBTB26"
"ZBTB26.m1","ZBTB26.m1","N4_MA1579.2/N5_ZBTB26.h0","ZBTB26"
"ZBTB3.m0","ZBTB3.m0","N1_Zbtb3.h0/N4_ZBTB3.e0","ZBTB3"
"ZBTB32.m0","ZBTB32.m0","N2_M04595/N1_M04594","ZBTB32"
"ZBTB32.m1","ZBTB32.m1","N3_MA1580.1/N4_ZBTB32.h0","ZBTB32"
"ZBTB33.m0","ZBTB33.m0","N1_M04774","ZBTB33"
"ZBTB33.m1","ZBTB33.m1","N6_ZBTB33.e0/N2_M10634/N4_ZBTB33.h0","ZBTB33"
"ZBTB33.m2","ZBTB33.m2","N3_MA0527.2/N5_ZBTB33.h1","ZBTB33"
"ZBTB33.m3","ZBTB33.m3","N8_ZBTB33.e2","ZBTB33"
"ZBTB33.m4","ZBTB33.m4","N9_ZBTB33.e3","ZBTB33"
"ZBTB33.m5","ZBTB33.m5","N10_ZBTB33.e4","ZBTB33"
"ZBTB37.m0","ZBTB37.m0","N1_M04807","ZBTB37"
"ZBTB40.m0","ZBTB40.m0","N1_M08552","ZBTB40"
"ZBTB40.m1","ZBTB40.m1","N2_M08553","ZBTB40"
"ZBTB40.m2","ZBTB40.m2","N3_M08554","ZBTB40"
"ZBTB41.m0","ZBTB41.m0","N1_M06143","ZBTB41"
"ZBTB41.m1","ZBTB41.m1","N3_M09168/N2_M09167","ZBTB41"
"ZBTB41.m2","ZBTB41.m2","N4_M09169","ZBTB41"
"ZBTB42.m0","ZBTB42.m0","M09486","ZBTB42"
"ZBTB43.m0","ZBTB43.m0","N1_M04737/N2_M04738","ZBTB43"
"ZBTB44.m0","ZBTB44.m0","M01255","ZBTB44"
"ZBTB45.m0","ZBTB45.m0","N2_M04638/N1_M04637","ZBTB45"
"ZBTB47.m0","ZBTB47.m0","M06048","ZBTB47"
"ZBTB48.m0","ZBTB48.m0","M09526","ZBTB48"
"ZBTB49.m0","ZBTB49.m0","N1_M03105/N2_ZBTB49.e0","ZBTB49"
"ZBTB5.m1","ZBTB5.m1","N2_M08509/N3_M08510","ZBTB5"
"ZBTB6.m0","ZBTB6.m0","N2_M11430/N5_ZBTB6.e0","ZBTB6"
"ZBTB6.m1","ZBTB6.m1","N3_MA1581.2/N4_ZBTB6.h0","ZBTB6"
"ZBTB7A.m0","ZBTB7A.m0","N2_M04783","ZBTB7A"
"ZBTB7A.m1","ZBTB7A.m1","N5_MA0750.3/N6_ZBTB7A.h0","ZBTB7A"
"ZBTB7A.m2","ZBTB7A.m2","N7_ZBTB7A.e0","ZBTB7A"
"ZBTB7B.m0","ZBTB7B.m0","N2_Zbtb7b.h0","ZBTB7B"
"ZBTB7B.m1","ZBTB7B.m1","N4_M03099/N7_MA0694.2/N8_ZBTB7B.h0/N5_M04701/N3_Zbtb7b.h1","ZBTB7B"
"ZBTB7C.m0","ZBTB7C.m0","N1_M03124/N3_ZBTB7C.h0/N4_ZBTB7C.e0/N2_MA0695.2","ZBTB7C"
"ZBTB8A.m0","ZBTB8A.m0","M08499","ZBTB8A"
"ZEB1.m0","ZEB1.m0","N3_M08983","ZEB1"
"ZEB1.m1","ZEB1.m1","N4_M11212/N13_ZEB1.e1","ZEB1"
"ZEB1.m2","ZEB1.m2","N5_M11213/N14_ZEB1.e2","ZEB1"
"ZEB1.m3","ZEB1.m3","N6_M11214/N15_ZEB1.e3","ZEB1"
"ZEB1.m4","ZEB1.m4","N7_M11215/N16_ZEB1.e4","ZEB1"
"ZEB1.m5","ZEB1.m5","N9_MA0103.4/N11_ZEB1.h1","ZEB1"
"ZEB1.m6","ZEB1.m6","N10_ZEB1.h0","ZEB1"
"ZEB2.m0","ZEB2.m0","ZEB2.h0","ZEB2"
"ZFAT.m0","ZFAT.m0","M06208","ZFAT"
"ZFP1.m0","ZFP1.m0","N2_M04806/N1_M04805/N4_M06242","ZFP1"
"ZFP1.m1","ZFP1.m1","N5_M08091","ZFP1"
"ZFP105.m0","ZFP105.m0","N1_Zfp105.h0","ZFP105"
"ZFP105.m1","ZFP105.m1","N2_Zfp105.h1","ZFP105"
"ZFP128.m0","ZFP128.m0","N2_Zfp128.h0/N1_M00204","ZFP128"
"ZFP14.m0","ZFP14.m0","N2_M08013/N3_MA1972.1","ZFP14"
"ZFP263.m0","ZFP263.m0","M00837","ZFP263"
"ZFP28.m0","ZFP28.m0","N1_M08228","ZFP28"
"ZFP28.m1","ZFP28.m1","N2_M09513","ZFP28"
"ZFP281.m0","ZFP281.m0","N5_Zfp281.h2/N1_M00194","ZFP281"
"ZFP281.m1","ZFP281.m1","N3_Zfp281.h0/N2_M08608","ZFP281"
"ZFP3.m0","ZFP3.m0","N2_M06148","ZFP3"
"ZFP3.m1","ZFP3.m1","N3_M09051","ZFP3"
"ZFP3.m2","ZFP3.m2","N9_ZFP3.h0","ZFP3"
"ZFP3.m3","ZFP3.m3","N8_M09490","ZFP3"
"ZFP335.m0","ZFP335.m0","MA2002.2","ZFP335"
"ZFP37.m0","ZFP37.m0","M08495","ZFP37"
"ZFP41.m0","ZFP41.m0","N2_M04802/N1_M04801","ZFP41"
"ZFP410.m0","ZFP410.m0","N1_M00195/N2_Zfp410.h0","ZFP410"
"ZFP42.m0","ZFP42.m0","N1_M04785","ZFP42"
"ZFP42.m1","ZFP42.m1","N2_M04786","ZFP42"
"ZFP42.m2","ZFP42.m2","N4_MA1651.2/N5_ZFP42.h0/N3_M09483","ZFP42"
"ZFP57.m0","ZFP57.m0","N1_Zfp57.h0","ZFP57"
"ZFP57.m1","ZFP57.m1","N2_M08177","ZFP57"
"ZFP57.m2","ZFP57.m2","N3_MA1583.2/N4_ZFP57.h0","ZFP57"
"ZFP64.m0","ZFP64.m0","M09410","ZFP64"
"ZFP652.m0","ZFP652.m0","M03142","ZFP652"
"ZFP69.m0","ZFP69.m0","M08107","ZFP69"
"ZFP691.m0","ZFP691.m0","N1_Zfp691.h0","ZFP691"
"ZFP691.m1","ZFP691.m1","N2_Zfp691.h1","ZFP691"
"ZFP69B.m0","ZFP69B.m0","M08106","ZFP69B"
"ZFP711.m0","ZFP711.m0","M01945","ZFP711"
"ZFP740.m0","ZFP740.m0","N2_M00855/N4_Zfp740.h0/N1_M00198","ZFP740"
"ZFP809.m0","ZFP809.m0","N1_MA2125.1","ZFP809"
"ZFP809.m1","ZFP809.m1","N2_Zfp809.h0","ZFP809"
"ZFP82.m0","ZFP82.m0","N2_M09491","ZFP82"
"ZFP90.m0","ZFP90.m0","M08093","ZFP90"
"ZFP91.m0","ZFP91.m0","N1_M06072/N2_M08556","ZFP91"
"ZFP961.m0","ZFP961.m0","MA2126.1","ZFP961"
"ZFPM1.m0","ZFPM1.m0","M06212","ZFPM1"
"ZFTA.m0","ZFTA.m0","M06035","ZFTA"
"ZFX.m0","ZFX.m0","N1_MA0146.3/N2_Zfx.h0/N4_ZFX.e0","ZFX"
"ZFX.m1","ZFX.m1","N3_ZFX.h0","ZFX"
"ZFY.m0","ZFY.m0","N2_M10640/N1_M00859","ZFY"
"ZIC1--ZIC2.m0","ZIC1--ZIC2.m0","N1_MA1628.2/N2_Zic1--Zic2.h0","ZIC1--ZIC2"
"ZIC1.m0","ZIC1.m0","N2_Zic1.h1","ZIC1"
"ZIC1.m1","ZIC1.m1","N5_M04690/N3_M03097/N8_MA0696.1/N9_ZIC1.h0/N11_ZIC1.e2/N7_M04692/N6_M04691/N4_M04689","ZIC1"
"ZIC2.m0","ZIC2.m0","N1_MA1629.2/N3_Zic2.h1","ZIC2"
"ZIC3.m0","ZIC3.m0","N13_ZIC3.e3/N5_M03098/N10_ZIC3.h0/N12_ZIC3.e2","ZIC3"
"ZIC3.m1","ZIC3.m1","N6_M04695","ZIC3"
"ZIC3.m2","ZIC3.m2","N7_M04696/N9_M04698","ZIC3"
"ZIC4.m0","ZIC4.m0","N2_M03140/N6_MA0751.2/N7_ZIC4.h0/N8_ZIC4.e0","ZIC4"
"ZIC5.m0","ZIC5.m0","N2_M04676/N1_M04675/N3_MA1584.2/N4_ZIC5.h0","ZIC5"
"ZIK1.m0","ZIK1.m0","M08054","ZIK1"
"ZIM2.m0","ZIM2.m0","M08200","ZIM2"
"ZIM3.m0","ZIM3.m0","N4_M09110/N1_M08012/N7_M09113/N8_M09447/N9_MA1709.2/N2_M08210","ZIM3"
"ZIM3.m1","ZIM3.m1","N3_M09109","ZIM3"
"ZIM3.m2","ZIM3.m2","N5_M09111","ZIM3"
"ZIM3.m3","ZIM3.m3","N6_M09112","ZIM3"
"ZKSCAN1.m0","ZKSCAN1.m0","N2_MA1585.2/N4_ZKSCAN1.h1","ZKSCAN1"
"ZKSCAN1.m1","ZKSCAN1.m1","N3_ZKSCAN1.h0","ZKSCAN1"
"ZKSCAN2.m0","ZKSCAN2.m0","M07983","ZKSCAN2"
"ZKSCAN3.m0","ZKSCAN3.m0","N1_M03127/N4_ZKSCAN3.e0","ZKSCAN3"
"ZKSCAN3.m1","ZKSCAN3.m1","N3_MA1973.2/N2_M08117","ZKSCAN3"
"ZKSCAN4.m0","ZKSCAN4.m0","M06073","ZKSCAN4"
"ZKSCAN5.m0","ZKSCAN5.m0","N1_M08130/N2_MA1652.2/N3_ZKSCAN5.h0","ZKSCAN5"
"ZKSCAN7.m0","ZKSCAN7.m0","M06243","ZKSCAN7"
"ZKSCAN8.m0","ZKSCAN8.m0","N1_M08576","ZKSCAN8"
"ZKSCAN8.m1","ZKSCAN8.m1","N2_M08577","ZKSCAN8"
"ZNF10.m0","ZNF10.m0","M08195","ZNF10"
"ZNF100.m0","ZNF100.m0","M08136","ZNF100"
"ZNF101.m0","ZNF101.m0","M08084","ZNF101"
"ZNF107.m0","ZNF107.m0","N3_M09214","ZNF107"
"ZNF112.m0","ZNF112.m0","N3_M08488","ZNF112"
"ZNF112.m1","ZNF112.m1","N4_M08489","ZNF112"
"ZNF114.m0","ZNF114.m0","M08071","ZNF114"
"ZNF12.m0","ZNF12.m0","N2_M04720/N1_M04719","ZNF12"
"ZNF121.m0","ZNF121.m0","N1_M08229","ZNF121"
"ZNF124.m0","ZNF124.m0","M08123","ZNF124"
"ZNF132.m0","ZNF132.m0","M08009","ZNF132"
"ZNF133.m0","ZNF133.m0","M08001","ZNF133"
"ZNF134.m0","ZNF134.m0","N3_M09351","ZNF134"
"ZNF134.m1","ZNF134.m1","N4_M09352","ZNF134"
"ZNF134.m2","ZNF134.m2","N5_M09353","ZNF134"
"ZNF135.m0","ZNF135.m0","N1_M06238","ZNF135"
"ZNF135.m1","ZNF135.m1","N4_ZNF135.h0/N3_MA1587.1/N2_M08068","ZNF135"
"ZNF136.m0","ZNF136.m0","N1_M08129","ZNF136"
"ZNF136.m1","ZNF136.m1","N2_M09058","ZNF136"
"ZNF136.m2","ZNF136.m2","N3_M09509","ZNF136"
"ZNF136.m3","ZNF136.m3","N6_ZNF136.h1/N4_MA1588.1","ZNF136"
"ZNF138.m0","ZNF138.m0","N1_M08570","ZNF138"
"ZNF138.m1","ZNF138.m1","N2_M08571","ZNF138"
"ZNF138.m2","ZNF138.m2","N3_M08572","ZNF138"
"ZNF140.m0","ZNF140.m0","N2_M04826/N1_M04825","ZNF140"
"ZNF140.m1","ZNF140.m1","N6_ZNF140.h0/N5_MA1589.2","ZNF140"
"ZNF141.m0","ZNF141.m0","M08007","ZNF141"
"ZNF142.m0","ZNF142.m0","M06123","ZNF142"
"ZNF143.m0","ZNF143.m0","N1_M03103/N6_MA0088.2/N8_ZNF143.h1/N14_ZNF143.e5","ZNF143"
"ZNF143.m1","ZNF143.m1","N2_M08389","ZNF143"
"ZNF143.m2","ZNF143.m2","N7_ZNF143.h0","ZNF143"
"ZNF143.m3","ZNF143.m3","N9_ZNF143.e0","ZNF143"
"ZNF143.m4","ZNF143.m4","N10_ZNF143.e1","ZNF143"
"ZNF146.m0","ZNF146.m0","N1_M08219","ZNF146"
"ZNF148.m0","ZNF148.m0","N1_MA1653.2/N2_ZNF148.h0","ZNF148"
"ZNF154.m0","ZNF154.m0","M08077","ZNF154"
"ZNF157.m0","ZNF157.m0","N2_MA2331.1","ZNF157"
"ZNF16.m0","ZNF16.m0","N2_M09044/N7_M09471","ZNF16"
"ZNF16.m1","ZNF16.m1","N6_M09158","ZNF16"
"ZNF16.m2","ZNF16.m2","N9_ZNF16.h0/N10_ZNF16.h1/N8_MA1654.2","ZNF16"
"ZNF160.m0","ZNF160.m0","N1_M06139","ZNF160"
"ZNF160.m1","ZNF160.m1","N5_M09162","ZNF160"
"ZNF165.m0","ZNF165.m0","ZNF165.h0","ZNF165"
"ZNF169.m0","ZNF169.m0","M08066","ZNF169"
"ZNF17.m0","ZNF17.m0","M08102","ZNF17"
"ZNF174.m0","ZNF174.m0","N2_M04619/N1_M04618","ZNF174"
"ZNF175.m0","ZNF175.m0","N1_M09427","ZNF175"
"ZNF175.m1","ZNF175.m1","N2_MA2332.1","ZNF175"
"ZNF177.m0","ZNF177.m0","N2_M04820/N1_M04819","ZNF177"
"ZNF18.m0","ZNF18.m0","N3_M09451/N2_M08213/N1_M08023","ZNF18"
"ZNF180.m0","ZNF180.m0","M08035","ZNF180"
"ZNF181.m0","ZNF181.m0","M08151","ZNF181"
"ZNF182.m0","ZNF182.m0","M08018","ZNF182"
"ZNF184.m0","ZNF184.m0","N3_MA2120.1/N1_M07992","ZNF184"
"ZNF184.m1","ZNF184.m1","N2_M09420","ZNF184"
"ZNF189.m0","ZNF189.m0","N1_M08010","ZNF189"
"ZNF189.m1","ZNF189.m1","N2_M09037","ZNF189"
"ZNF189.m2","ZNF189.m2","N4_MA1725.2","ZNF189"
"ZNF19.m0","ZNF19.m0","M08024","ZNF19"
"ZNF197.m0","ZNF197.m0","M08105","ZNF197"
"ZNF2.m0","ZNF2.m0","M08201","ZNF2"
"ZNF200.m0","ZNF200.m0","N1_M00272","ZNF200"
"ZNF200.m1","ZNF200.m1","N2_M09025","ZNF200"
"ZNF200.m2","ZNF200.m2","N3_M09408","ZNF200"
"ZNF202.m0","ZNF202.m0","M08033","ZNF202"
"ZNF205.m0","ZNF205.m0","M07999","ZNF205"
"ZNF208.m0","ZNF208.m0","N1_M06134","ZNF208"
"ZNF208.m1","ZNF208.m1","N3_M09120","ZNF208"
"ZNF211.m0","ZNF211.m0","N1_M07998/N2_MA1974.2","ZNF211"
"ZNF212.m0","ZNF212.m0","M08046","ZNF212"
"ZNF213.m0","ZNF213.m0","N1_M09419","ZNF213"
"ZNF213.m1","ZNF213.m1","N2_MA2121.1","ZNF213"
"ZNF214.m0","ZNF214.m0","N1_M08020/N2_M09449","ZNF214"
"ZNF214.m1","ZNF214.m1","N3_MA1975.2","ZNF214"
